bookID;IT;ES;EN;DE
Genesis;;Génesis;;
Exodus;;ÉXODO;;
Leviticus ;;LEVÍTICO;;
Numbers ;;NÚMEROS;;
Deuteronomy ;;DEUTERONOMIO;;
Joshua;;JOSUÉ;;
Judges;;JUECES;;
Ruth;;RUT;;
1 Samuel;;SAMUEL 1;;
2 Samuel;;SAMUEL 2;;
1 Kings;;REYES 1;;
2 Kings;;REYES 2;;
1 Chronicles;;CRÓNICAS 1;;
2 Chronicles;;Crónicas 2;;
Ezra;;ESDRAS;;
Nehemiah;;NEHEMÍAS;;
Esther;;ESTER;;
Job;;JOB;;
Psalms;;SALMO;;
Proverbs;;PROVERBIOS;;
Ecclesiastes;;ECLESTIASTÉS;;
Canticles;;CANTARES;;
Isaiah;;ISAÍAS;;
Jeremiah;;JEREMÍAS;;
Lamentations;;LAMENTACIONES;;
Ezekiel;;EZEQUIEL;;
Daniel;;DANIEL;;
Hosea;;OSEAS;;
Joel;;JOEL;;
Amos;;AMÓS;;
Obadiah;;ABDÍAS;;
Jonah;;JONÁS;;
Micah;;MIQUEAS;;
Nahum;;NAHUM;;
Habakkuk;;HABACUC;;
Zephaniah;;SOFONÍAS;;
Haggai;;HAGEO;;
Zechariah;;ZACARÍAS;;
Malachi;;MALAQUÍAS;;
Matthew;;MATEO;;
Mark;;MARCOS;;
Luke;;LUCAS;;
John;;JUAN;;
Acts of the Apostles;;HECHOS;;
Romans;;ROMANOS;;
1 Corinthians;;CORINTIOS 1;;
2 Corinthians;;CORINTIOS 2;;
Galatians;;GÁLATAS;;
Ephesians;;EFESIOS;;
Philippians;;FILIPENSES;;
Colossians;;COLOSENSES;;
1 Thessalonians;;TESALONICENSES 1;;
2 Thessalonians;;TESALONICENSES 2;;
1 Timothy;;TIMOTEO 1;;
2 Timothy;;TIMOTEO 2;;
Titus;;TITO;;
Philemon;;FILEMÓN;;
Hebrews;;HEBREOS;;
James;;SANTIAGO;;
1 Peter;;PEDRO 1;;
2 Peter;;PEDRO 2;;
1 John;;JUAN 1;;
2 John;;JUAN 2;;
3 John;;JUAN 3;;
Jude;;JUDAS;;
Revelation;;APOCALIPSIS;;
