KeywordName;NLanguage (0=it-IT, 1=es-PE, 2=en-GB, 3=de-DE);LanguageID;Words;;;
bible;0;it-IT;la bibbia;passo della bibbia;;
bible;1;es-PE;la biblia;versículo de la Biblia;;
bible;2;en-GB;the bible;verse from the Bible;;
bible;3;de-DE;;;;
parable;0;it-IT;parabola;parabole;;
parable;1;es-PE;parabola;parabolas;;
parable;2;en-GB;parable;parables;;
parable;3;de-DE;;;;
pope;0;it-IT;il papa;papa francesco;papà francesco;del papa
pope;1;es-PE;el papa;papa francisco;papá francisco;del papa
pope;2;en-GB;the pope;pope francis;of the pope;
pope;3;de-DE;;;;
pray;0;it-IT;preghiamo;pregare;preghiera;
pray;1;es-PE;recemos;rezar;rezando;oración
pray;2;en-GB;let's pray;shall we pray;to pray;prayer
pray;3;de-DE;lass uns beten;;;
