bookID;IT;ES;EN;DE
Gen;GENESI;GÉNESIS;Genesis;
Exo;ESODO;Éxodo;Exodus;
Lev;LEVITICO;Levítico;Leviticus;
Num;NUMERI;Números;Numbers;
Deu;DEUTERONOMIO;Deuteronomio;Deuteronomy;
Jos;GIOSUÈ;JOSUÉ;Joshua;
Jdg;GIUDICI;Jueces;Judges;
Rut;RUT;Rut;Ruth;
1Sa;PRIMO LIBRO DI SAMUELE;Primer libro de Samuel;1 Samuel;
2Sa;SECONDO LIBRO DI SAMUELE;Segundo libro de samuel;2 Samuel;
1Ki;PRIMO LIBRO DEI RE;PRIMER LIBRO DE LOS REYES;1 Kings;
2Ki;SECONDO LIBRO DEI RE;Segundo libro de los reyes;2 Kings;
1Ch;PRIMO LIBRO DELLE CRONACHE;Primer libro de las crónicas;1 Chronicles;
2Ch;SECONDO LIBRO DELLE CRONACHE;Segundo libro de las crónicas;2 Chronicles;
Ezr;ESDRA;Esdras;Ezra;
Neh;NEEMIA;Nehemias;Nehemiah;
Tob;TOBIA;Tobias;Tobit;
Jdt;GIUDITTA;Judit;Judith;
Est;ESTER;Ester;Esther;
1Ma;PRIMO LIBRO DEI MACCABEI;Primer libro de los Macabeos;1 Maccabees;
2Ma;SECONDO LIBRO DEI MACCABEI;Segundo libro de los Macabeos;2 Maccabees;
Job;GIOBBE;JOB;Job;
Psa;SALMI;Salmos;Psalms;
Pro;PROVERBI;Proverbios;Proverbs;
Ecc;QOÈLET;Eclesiastes;Ecclesiastes;
Sol;CANTICO DEI CANTICI;Cantar de los cantares;Song of Solomon;
Wis;SAPIENZA;SABIDURÍA;Wisdom of Solomon;
Sir;SIRACIDE;Sirácida;Sirach;
Isa;LIBRO DEL PROFETA ISAIA;Isaias;Isaiah;
Jer;LIBRO DEL PROFETA GEREMIA;JEREMÍAS;Jeremiah;
Lam;LIBRO DELLE LAMENTAZIONI;Lamentaciones;Lamentations;
Bar;LIBRO DEL PROFETA BARUC;Baruc;Baruch;
Eze;LIBRO DEL PROFETA EZECHIELE;Ezequiel;Ezekiel;
Dan;LIBRO DEL PROFETA DANIELE;Daniel;Daniel;
Hos;LIBRO DEL PROFETA OSEA;OSEAS;Hosea;
Joe;LIBRO DEL PROFETA GIOELE;Joel;Joel;
Amo;LIBRO DEL PROFETA AMOS;Amos;Amos;
Oba;LIBRO DEL PROFETA ABDIA;Abdías;Obadiah;
Jon;LIBRO DEL PROFETA GIONA;Jonás;Jonah;
Mic;LIBRO DEL PROFETA MICHEA;Miqueas;Micah;
Nah;LIBRO DEL PROFETA NAUM;Nahum;Nahum;
Hab;LIBRO DEL PROFETA ABACUC;Habacuc;Habakkuk;
Zep;LIBRO DEL PROFETA SOFONIA;Sofonías;Zephaniah;
Hag;LIBRO DEL PROFETA AGGEO;Ageo;Haggai;
Zec;LIBRO DEL PROFETA ZACCARIA;Zacarías;Zechariah;
Mal;LIBRO DEL PROFETA MALACHIA;Malaquías;Malachi;
Mat;VANGELO SECONDO MATTEO;Evangelio según san Mateo;Gospel of Matthew;
Mar;VANGELO SECONDO MARCO;Evangelio según san Marcos;Gospel of Mark;
Luk;VANGELO SECONDO LUCA;EVANGELIO SEGÚN SAN LUCAS;Gospel of Luke;
Joh;VANGELO SECONDO GIOVANNI;EVANGELIO SEGÚN SAN JUAN;Gospel of John;
Act;ATTI DEGLI APOSTOLI;HECHOS DE LOS APÓSTOLES;Acts;
Rom;LETTERA AI ROMANI;CARTA A LOS ROMANOS;Romans;
1Co;PRIMA LETTERA AI CORINZI;PRIMERA CARTA A LOS CORINTIOS;1 Corinthians;
2Co;SECONDA LETTERA AI CORINZI;SEGUNDA CARTA A LOS CORINTIOS;2 Corinthians;
Gal;LETTERA AI GÀLATI;CARTA A LOS GÁLATAS;Galatians;
Eph;LETTERA AGLI EFESINI;CARTA A LOS EFESIOS;Ephesians;
Phi;LETTERA AI FILIPPESI;CARTA A LOS FILIPENSES;Philippians;
Col;LETTERA AI COLOSSESI;CARTA A LOS COLOSENSES;Colossians;
1Th;PRIMA LETTERA AI TESSALONICESI;PRIMERA CARTA A LOS TESALONICENSES;1 Thessalonians;
2Th;SECONDA LETTERA AI TESSALONICESI;SEGUNDA CARTA A LOS TESALONICENSES;2 Thessalonians;
1Ti;PRIMA LETTERA A TIMÒTEO;Primera carta a Timoteo;1 Timothy;
2Ti;SECONDA LETTERA A TIMÒTEO;Segunda carta a Timoteo;2 Timothy;
Tit;LETTERA A TITO;Carta a Tito;Titus;
Phm;LETTERA A FILÈMONE;Carta a Filemón;Philemon;
Heb;LETTERA AGLI EBREI;CARTA A LOS HEBREOS;Hebrews;
Jam;LETTERA DI GIACOMO;CARTA DE SANTIAGO;James;
1Pe;PRIMA LETTERA DI PIETRO;PRIMERA CARTA DE PEDRO;1 Peter;
2Pe;SECONDA LETTERA DI PIETRO;SEGUNDA CARTA DE PEDRO;2 Peter;
1Jo;PRIMA LETTERA DI GIOVANNI;PRIMERA CARTA DE JUAN;1 John;
2Jo;SECONDA LETTERA DI GIOVANNI;SEGUNDA CARTA DE JUAN;2 John;
3Jo;TERZA LETTERA DI GIOVANNI;TERCERA CARTA DE JUAN;3 John;
Jud;LETTERA DI GIUDA;CARTA DE JUDAS;Jude;
Rev;LIBRO DELL’APOCALISSE;APOCALIPSIS;Revelation;
