datatype;number;IT;ES;EN;DE
words;0;Oggi,;Hoy,;Today,;Heute,
words;1;è;es;it's the;ist 
words;2;;de;of;
words;3;.;.;.;.
month;1;gennaio;enero;January;
month;2;febbraio;febrero;February;
month;3;marzo;marzo;March;
month;4;aprile;abril;April;
month;5;maggio;mayo;May;
month;6;giugno;junio;June;
month;7;luglio;julio;July;
month;8;agosto;agosto;August;
month;9;settembre;septiembre;September;
month;10;ottobre;octubre;October;
month;11;novembre;noviembre;November;
month;12;dicembre;diciembre;December;
day;1;l'uno;primero;first ;
day;2;il due;segundo;second ;
day;3;il tre;tercero;third ;
day;4;il quattro;cuatro;fourth ;
day;5;il cinque;cinco;fifth ;
day;6;il sei;seis;sixth ;
day;7;il sette;siete;seventh ;
day;8;l'otto;ocho;eighth ;
day;9;il nove;nueve;ninth ;
day;10;il dieci;diez;tenth ;
day;11;l'undici;once;eleventh ;
day;12;il dodici;doce;twelfth ;
day;13;il tredici;trece;thirteenth ;
day;14;il quattordici;catorce;fourteenth ;
day;15;il quindici;quince;fifteenth ;
day;16;il sedici;dieciséis;sixteenth ;
day;17;il diciassette;diecisiete;seventeenth ;
day;18;il diciotto;dieciocho;eighteenth ;
day;19;il diciannove;diecinueve;nineteenth ;
day;20;il venti;veinte;twentieth ;
day;21;il ventun;veintiuno;twenty-first ;
day;22;il ventidue;veintidós;twenty-second ;
day;23;il ventitré;veintitrés;twenty-third ;
day;24;il ventiquattro;veinticuatro;twenty-fourth ;
day;25;il venticinque;veinticinco;twenty-fifth ;
day;26;il ventisei;veintiséis;twenty-sixth ;
day;27;il ventisette;veintisiete;twenty-seventh ;
day;28;il ventotto;veintiocho;twenty-eighth ;der achtundzwanzigste 
day;29;il ventinove;veintinueve;twenty-ninth ;der neunundzwanzigste
day;30;il trenta;treinta;thirtieth ;der dreißigste
day;31;il trentun;treinta y uno;thirty-first ;
