prayerID;randomOK;part;IT;ES;EN;DE;content;IT;ES;EN;DE
padrenostro;1;0;Padre Nostro;Padre Nuestro;;;;;;;
padrenostro;1;1;Padre nostro, che sei nei cieli. sia santificato il tuo nome. venga il tuo regno. sia fatta la tua volontà. come in cielo così in terra. Dacci oggi il nostro pane quotidiano. e rimetti a noi i nostri debiti. come noi li rimettiamo ai nostri debitori. e non ci indurre in tentazione. ma liberaci dal male. Amen.;Padre nuestro, que estás en los cielos. santificado sea tu nombre. venga a nosotros tu reino. hágase tu voluntad. así en la Tierra como en el cielo. El pan nuestro de cada día dánosle hoy. y perdónanos nuestras deudas. así como nosotros perdonamos a nuestros deudores. no nos dejes caer en la tentación. mas líbranos del mal.;Our Father, Who art in heaven, hallowed be Thy name, Thy kingdom come, Thy will be done on earth as it is in heaven. Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us, and lead us not into temptation, but deliver us from evil. Amen.;Vater unser im Himmel, geheiligt werde dein Name. Dein Reich komme Dein Wille geschehe, wie im Himmel, so auf Erden. Unser tägliches Brot gib uns heute. Und vergib uns unsere Schuld, wie auch wir vergeben unseren Schuldigern Und führe uns nicht in Versuchung, sondern erlöse uns von dem Bösen. Denn Dein ist das Reich und die Kraft und die Herrlichkeit in Ewigkeit. Amen.;;;;;
avemaria;1;0;Ave Maria;;;;;;;;
avemaria;1;1;Ave o Maria. piena di grazia. il Signore è con te. Tu sei benedetta fra le donne. e benedetto è il frutto del tuo seno, Gesù. Santa Maria. Madre di Dio. prega per noi peccatori. adesso e nell'ora della nostra morte. Amen.;Dios te salve, María. llena eres de gracia. el Señor es contigo. bendita Tú eres entre todas las mujeres y bendito es el fruto de tu vientre Jesús.  Santa María, Madre de Dios. ruega por nosotros, pecadores. ahora y en la hora de nuestra muerte.  Amén.;Hail Mary, full of grace. The Lord is with thee. Blessed art thou amongst women, and blessed is the fruit of thy womb, Jesus. Holy Mary, Mother of God, pray for us sinners, now and at the hour of our death. Amen.;Gegrüßet seist du Maria, voll der Gnade. Der Herr ist mit Dir. Du bist gebenedeit unter den Frauen und gebenedeit ist die Frucht Deines Leibes Jesu. Heilige Maria, Mutter Gottes, bitte für uns Sünder jetzt und in der Stunde unseres Todes. Amen;;;;;
gloria;1;1;Gloria al Padre, al Figlio, e allo Spirito Santo. Come era nel principio, ora e sempre, nei secoli dei secoli. Amen.;Gloria al Padre, y al Hijo, y al Espíritu Santo. Como era en el principio, ahora y siempre, por los siglos de los siglos. Amén.;Glory be to the Father and to the Son and to the Holy Spirit. As it was in the beginning is now, and ever shall be, world without end. Amen. ;Ehre sei dem Vater und dem Sohn und dem heiligen Geist wie es war im Anfang so auch jetzt und alle Zeit in Ewigkeit. Amen;;;;;
angel;1;1;Angelo di Dio, che sei il mio custode. Illumina, custodisci, reggi, governa me. Che ti fui affidato dalla pietà, celeste, Amen.;Ángel de Dios, que eres mi custodio, pues la bondad divina me ha encomendado a ti, ilumíname, guárdame, defiéndeme y gobiérname. Amén ;;;;;;;
dead;0;1;;;;;;;;;
credo;1;1;Credo in un solo Dio, Padre onnipotente. Creatore del cielo e della terra, di tutte le cose visibili e invisibili. Credo in un solo Signore, Gesù Cristo. unigenito Figlio di Dio. nato dal Padre prima di tutti i secoli. Dio da Dio, Luce da Luce. Dio vero da Dio vero. generato, non creato, della stessa sostanza del Padre. per mezzo di lui tutte le cose sono state create. Per noi uomini e per la nostra salvezza discese dal cielo. e per opera dello Spirito Santo. si è incarnato nel seno della Vergine Maria, e si è fatto uomo. Fu crocifisso per noi sotto Ponzio Pilato. morì e fu sepolto.;Creo en Dios Padre, todopoderoso, creador del cielo y de la tierra. Creo en Jesucristo, su único hijo, nuestro Señor que fue concebido por obra y gracia del Espíritu Santo. nació de Santa María Virgen, Padeció bajo el poder de Poncio Pilato, fue crucificado, muerto y sepultado. ;;;;;;;
credo;1;2;Il terzo giorno è risuscitato, secondo le Scritture, è salito al cielo. siede alla destra del Padre. E di nuovo verrà, nella gloria, per giudicare i vivi e i morti, e il suo regno non avrà fine. Credo nello Spirito Santo, che è Signore e dà la vita. e procede dal Padre e dal Figlio. Con il Padre e il Figlio è adorato e glorificato, e ha parlato per mezzo dei profeti. Credo la Chiesa. una, santa, cattolica e apostolica. Professo un solo Battesimo per il perdono dei peccati. Aspetto la risurrezione dei morti, e la vita del mondo che verrà. Amen.;Descendió a los infiernos. al tercer día resucitó de entre los muertos, subió a los cielos, y está sentado a la diestra de Dios Padre. Desde allí ha de venir a juzgar a los vivos y a los muertos. Creo en el Espíritu Santo, la Santa Iglesia Católica, la comunión de los Santos, el perdón de los pecados, la resurrección de los muertos y la vida eterna.  Amén.;;;;;;;
p_lucas;0;0;;Oración a San Lucas;;;;;;;
