month;day;;IT;ES;EN;DE
1;1;n;;;;
1;2;n;;;;
1;3;n;;;;
1;4;n;;;;
1;5;n;;;;
1;6;n;;;;
1;7;n;;;;
1;8;n;;;;
1;9;n;;;;
1;10;n;;;;
1;11;n;;;;
1;12;n;;;;
1;13;n;;;;
1;14;n;;;;
1;15;n;;;;
1;16;n;;;;
1;17;n;;;;
1;18;n;;;;
1;19;n;;;;
1;20;n;;;;
1;21;n;;;;
1;22;n;;;;
1;23;n;;;;
1;24;n;;;;
1;25;n;;;;
1;26;n;;;;
1;27;n;;;;
1;28;n;;;;
1;29;n;;;;
1;30;n;;;;
1;31;n;;;;
2;1;n;;;;
2;2;n;;;;
2;3;n;San Biagio;;;
2;4;n;san Gilberto;;;
2;5;n;sant'Agata;;;
2;6;n;san Paolo Miki e compagni;;;
2;7;n;san Giovanni Lantrua da Triora;;;
2;8;n;San Girolamo Emiliani;;;
2;9;n;Sant'Apollonia;;;
2;10;n;;;;
2;11;n;;;;
2;12;n;;;;
2;13;n;;;;
2;14;n;;;;
2;15;n;;;;
2;16;n;;;;
2;17;n;;;;
2;18;n;;;;
2;19;n;;;;
2;20;n;;;;
2;21;n;;;;
2;22;n;;;;
2;23;n;;;;
2;24;n;;;;
2;25;n;;;;
2;26;n;;;;
2;27;n;;;;
2;28;n;;;;
2;29;n;;;;
3;1;n;;;;
3;2;n;;;;
3;3;n;;;;
3;4;n;;;;
3;5;n;;;;
3;6;n;;;;
3;7;n;;;;
3;8;n;;San Juan de Dios;;
3;9;n;;;;
3;10;n;;;;
3;11;n;;San Costantino de Escocia;;
3;12;n;;San Gregorio Magno;;
3;13;n;;;;
3;14;n;;;;
3;15;n;;;;
3;16;n;;;;
3;17;n;San Patrizio;;Saint Patrick;
3;18;n;;;;
3;19;n;;;;
3;20;n;;;;
3;21;n;;;;
3;22;n;;;;
3;23;n;;;;
3;24;n;;;;
3;25;n;;;;
3;26;n;;;;
3;27;n;;;;
3;28;n;;;;
3;29;n;;;;
3;30;n;;San Juan Clímaco;;
3;31;n;;Santa Balbina;;
4;1;n;;;;
4;2;n;;San Francisco de Paola;;
4;3;n;;;;
4;4;n;;San Isidro;;
4;5;n;;San Vicente Ferrer;;
4;6;n;;Santa Gala;;
4;7;n;;;;
4;8;n;;;;
4;9;n;;;;
4;10;n;;;;
4;11;n;;;;
4;12;n;;;;
4;13;n;;;;
4;14;n;;;;
4;15;n;;;;
4;16;n;;;;
4;17;n;;;;
4;18;n;;;;
4;19;n;;;;
4;20;n;;;;
4;21;n;;;;
4;22;n;;;;
4;23;n;;;;
4;24;n;;;;
4;25;n;;;;
4;26;n;;;;
4;27;n;;;;
4;28;n;;;;
4;29;n;;;;
4;30;n;;;;
5;1;n;;;;
5;2;n;;;;
5;3;n;;;;
5;4;n;;;;
5;5;n;;;;
5;6;n;;;;
5;7;n;;;;
5;8;n;;;;
5;9;n;;;;
5;10;n;;;;
5;11;n;;;;
5;12;n;;;;
5;13;n;;;;
5;14;n;;;;
5;15;n;;;;
5;16;n;;;;
5;17;n;;;;
5;18;n;;;;
5;19;n;;;;
5;20;n;;;;
5;21;n;;;;
5;22;n;;;;
5;23;n;;;;
5;24;n;;;;
5;25;n;;;;
5;26;n;;;;
5;27;n;;;;
5;28;n;Beata Margherita Pol. ;;the Blessed Margaret Pole.;der seligen Margarete Pole.
5;29;n;;;Saint Maximinus of Trier.;des heiligen Maximin von Trier.
5;30;n;;;Saint Joan of Arc.;der heiligen Jeanne d'Arc.
5;31;n;;;;
6;1;n;;;;
6;2;n;;;;
6;3;n;;;;
6;4;n;;;;
6;5;n;;;;
6;6;n;;;;
6;7;n;;;;
6;8;n;;;;
6;9;n;;;;
6;10;n;;;;
6;11;n;;;;
6;12;n;;;;
6;13;n;;;;
6;14;n;;;;
6;15;n;;;;
6;16;n;;;;
6;17;n;;;;
6;18;n;;;;
6;19;n;;;;
6;20;n;;;;
6;21;n;;;;
6;22;n;;;;
6;23;n;;;;
6;24;n;;;;
6;25;n;;;;
6;26;n;;;;
6;27;n;;;;
6;28;n;;;;
6;29;n;;;;
6;30;n;;;;
7;1;n;;;;
7;2;n;;;;
7;3;n;;;;
7;4;n;;;;
7;5;n;;;;
7;6;n;;;;
7;7;n;;;;
7;8;n;;;;
7;9;n;;;;
7;10;n;;;;
7;11;n;;;;
7;12;n;;;;
7;13;n;;;;
7;14;n;;;;
7;15;n;;;;
7;16;n;;;;
7;17;n;;;;
7;18;n;;;;
7;19;n;;;;
7;20;n;;;;
7;21;n;;;;
7;22;n;;;;
7;23;n;;;;
7;24;n;;;;
7;25;n;;;;
7;26;n;;;;
7;27;n;;;;
7;28;n;;;;
7;29;n;;;;
7;30;n;;;;
7;31;n;;;;
8;1;n;;;;
8;2;n;;;;
8;3;n;;;;
8;4;n;;;;
8;5;n;;;;
8;6;n;;;;
8;7;n;;;;
8;8;n;;;;
8;9;n;;;;
8;10;n;;;;
8;11;n;;;;
8;12;n;;;;
8;13;n;;;;
8;14;n;;;;
8;15;n;;;;
8;16;n;;;;
8;17;n;;;;
8;18;n;;;;
8;19;n;;;;
8;20;n;;;;
8;21;n;;;;
8;22;n;;;;
8;23;n;;;;
8;24;n;San Bartolomeo;;;
8;25;n;San Ludovico;;;
8;26;n;;;;
8;27;n;;;;
8;28;n;;;;
8;29;n;;;;
8;30;n;;;;
8;31;n;;;;
9;1;n;;;;
9;2;n;;;;
9;3;n;;;;
9;4;n;;;;
9;5;n;;;;
9;6;n;;;;
9;7;n;;;;
9;8;n;;;;
9;9;n;;;;
9;10;n;;;;
9;11;n;;;;
9;12;n;;;;
9;13;n;;;;
9;14;n;;;;
9;15;n;;;;
9;16;n;;;;
9;17;n;;;;
9;18;n;;;;
9;19;n;;;;
9;20;n;;;;
9;21;n;;;;
9;22;n;;;;
9;23;n;;;;
9;24;n;;;;
9;25;n;;;;
9;26;n;;;;
9;27;n;;;;
9;28;n;;;;
9;29;n;;;;
9;30;n;;;;
10;1;n;;;;
10;2;n;;;;
10;3;n;;;;
10;4;n;;;;
10;5;n;;;;
10;6;n;;;;
10;7;n;;;;
10;8;n;;;;
10;9;n;;;;
10;10;n;;;;
10;11;n;;;;
10;12;n;;;;
10;13;n;;;;
10;14;n;;;;
10;15;n;;;;
10;16;n;;;;
10;17;n;;;;
10;18;n;;;;
10;19;n;;;;
10;20;n;;;;
10;21;n;;;;
10;22;n;;;;
10;23;n;;;;
10;24;n;;;;
10;25;n;;;;
10;26;n;;;;
10;27;n;;;;
10;28;n;;;;
10;29;n;;;;
10;30;n;;;;
10;31;n;;;;
11;1;n;;;;
11;2;n;;;;
11;3;n;;;;
11;4;n;;;;
11;5;n;;;;
11;6;n;;;;
11;7;n;;;;
11;8;n;;;;
11;9;n;;;;
11;10;n;;;;
11;11;n;;;;
11;12;n;;;;
11;13;n;;;;
11;14;n;;;;
11;15;n;;;;
11;16;n;;;;
11;17;n;;;;
11;18;n;;;;
11;19;n;;;;
11;20;n;;;;
11;21;n;;;;
11;22;n;;;;
11;23;n;;;;
11;24;n;;;;
11;25;n;;;;
11;26;n;;;;
11;27;n;;;;
11;28;n;;;;
11;29;n;;;;
11;30;n;;;;
12;1;n;;;;
12;2;n;;;;
12;3;n;;;saint Francis Xavier;
12;4;n;;;;
12;5;n;;;;
12;6;n;;;;
12;7;n;;;;
12;8;n;;;;
12;9;n;;;;
12;10;n;;;;
12;11;n;;;;
12;12;n;;;;
12;13;n;;;;
12;14;n;;;;
12;15;n;;;;
12;16;n;;;;
12;17;n;;;;
12;18;n;;;;
12;19;n;;;;
12;20;n;;;;
12;21;n;;;;
12;22;n;;;;
12;23;n;;;;
12;24;n;;;;
12;25;n;;;;
12;26;n;;;;
12;27;n;;;;
12;28;n;;;;
12;29;n;;;;
12;30;n;;;;
12;31;n;;;;
;;;;;;
1;1;s;;;;
1;2;s;;;;
1;3;s;;;;
1;4;s;;;;
1;5;s;;;;
1;6;s;;;;
1;7;s;;;;
1;8;s;;;;
1;9;s;;;;
1;10;s;;;;
1;11;s;;;;
1;12;s;;;;
1;13;s;;;;
1;14;s;;;;
1;15;s;;;;
1;16;s;;;;
1;17;s;;;;
1;18;s;;;;
1;19;s;;;;
1;20;s;;;;
1;21;s;;;;
1;22;s;;;;
1;23;s;;;;
1;24;s;;;;
1;25;s;;;;
1;26;s;;;;
1;27;s;;;;
1;28;s;;;;
1;29;s;;;;
1;30;s;;;;
1;31;s;;;;
2;1;s;;;;
2;2;s;;;;
2;3;s;Vescovo e martire, in quanto cristiano subì a Sivas nell'antica Armenia il martirio sotto l'imperatore Licinio.;;;
2;4;s;Sacerdote, fondò un Ordine monastico, in cui impose una doppia disciplina di vita: alle monache la regola di san Benedetto, ai chierici quella di sant'Agostino.;;;
2;5;s;Vrgine e martire, a Catania, ancora fanciulla, nell'imperversare della persecuzione conservò nel martirio illibato il corpo e integra la fede per Cristo Signore.;;;
2;6;s;Martiri della persecuzione contro i cristiaani in Giappone. Nel 1596, tutti loro, tra missionari, sacerdoti, e religiosi, furono arrestati e crocifissi. ;;;
2;7;s;Sacerdote dell'Ordine dei Frati Minori e martire, che, dopo lunghi tormenti patiti in un carcere duro, morì strangolato.;;;
2;8;s;Gettato in carcere, si convertì a Dio, quindi si dedicò,  con i chierici somaschi, agli orfani e agli infermi.   Morì di peste mentre curava i malati;;;
2;9;s;Vergine e martire, dopo molte e crudeli torture, preferì il roogo piuttosto che rinnegare la fede. accesa dall'ardore dello Spirito Santo, si gettò nel fuoco;;;
2;10;s;;;;
2;11;s;;;;
2;12;s;;;;
2;13;s;;;;
2;14;s;;;;
2;15;s;;;;
2;16;s;;;;
2;17;s;;;;
2;18;s;;;;
2;19;s;;;;
2;20;s;;;;
2;21;s;;;;
2;22;s;;;;
2;23;s;;;;
2;24;s;;;;
2;25;s;;;;
2;26;s;;;;
2;27;s;;;;
2;28;s;;;;
2;29;s;;;;
3;1;s;;;;
3;2;s;;;;
3;3;s;;;;
3;4;s;;;;
3;5;s;;;;
3;6;s;;;;
3;7;s;;;;
3;8;s;;Nacido en Portugal, después de una vida llena de peligros en la milicia humana, prestó ayuda con constante caridad a los necesitados y enfermos en un hospital fundado por él, y se asoció compañeros, con los cuales constituyó después la Orden de Hospitalarios de San Juan de Dios.;;
3;9;s;;;;
