KeywordName;NLanguage (0=it-IT, 1=es-PE, 2=en-GB, 3=de-DE);LanguageID;Words;;;;;;
alexa;0;it-IT;alexa;;;;;;
alexa;1;es-PE;alexa;;;;;;
alexa;2;en-GB;alexa;;;;;;
alexa;3;de-DE;alexa;;;;;;
alright;0;it-IT;tutto okay;tutto bene;;;;;
alright;1;es-PE;todo bien;;;;;;
alright;2;en-GB;everything okay;everything alright;;;;;
alright;3;de-DE;alles gut;;;;;;
amen;0;it-IT;amen;;;;;;
amen;1;es-PE;amén;;;;;;
amen;2;en-GB;amen;;;;;;
amen;3;de-DE;amen;;;;;;
bye;0;it-IT;arrivederci;devo andare;ti saluto;vado via;ci vediamo;;
bye;1;es-PE;hasta luego;tengo que irme;saludos;me voy;adiós;ya me voy;nos vemos
bye;2;en-GB;bye ;goodbye;bye bye;i have to go;see you;;
bye;3;de-DE;auf wiedersehen;ich muss gehen;wir sehen uns;bis bald;;;
cortana;0;it-IT;cortana;;;;;;
cortana;1;es-PE;cortana;;;;;;
cortana;2;en-GB;cortana;;;;;;
cortana;3;de-DE;cortana;;;;;;
day;0;it-IT;giorno è oggi;oggi che giorno;santo di oggi;santo del giorno;;;
day;1;es-PE;día es hoy;santo de hoy;santo del día;dia es hoy;santo del dia;;
day;2;en-GB;what day;day is today;saint of today;saint of the day;;;
day;3;de-DE;namenstag;kalendartag;tag ist heute;welcher tag;heiliger des tages;heutiger heiliger;
google;0;it-IT;google;;;;;;
google;1;es-PE;google;;;;;;
google;2;en-GB;google;hi google;;;;;
google;3;de-DE;google;;;;;;
hearme;0;it-IT;mi senti?;puoi sentirmi?;;;;;
hearme;1;es-PE;¿Puedes oírme?;;;;;;
hearme;2;en-GB;can you hear me?;;;;;;
hearme;3;de-DE;kannst du mich hören?;;;;;;
hi;0;it-IT;ciao;buongiorno;;;;;
hi;1;es-PE;hola;buenos días;buenas tardes;;;;
hi;2;en-GB;hello;good morning;good afternoon;good evening;;;
hi;3;de-DE;guten tag;guten morgen;guten abend;;;;
how;0;it-IT;come stai;come va;;;;;
how;1;es-PE;cómo estás;;;;;;
how;2;en-GB;how are you;;;;;;
how;3;de-DE;wie geht es dir;;;;;;
ijou;0;it-IT;è tutto;;;;;;
ijou;1;es-PE;eso es todo;nada mas;;;;;
ijou;2;en-GB;that's all;;;;;;
ijou;3;de-DE;;;;;;;
myname;0;it-IT;mi chiamo;il mio nome è;;;;;
myname;1;es-PE;me llamo;mi nombre es;;;;;
myname;2;en-GB;my name is;;;;;;
myname;3;de-DE;ich heiße;mein name;;;;;
padrenostro;0;it-IT;padre nostro;;;;;;
padrenostro;1;es-PE;Padre nuestro;;;;;;
padrenostro;2;en-GB;Our Father;;;;;;
padrenostro;3;de-DE;Vater unser;;;;;;
santo;0;it-IT;santo;santou;san to;;;;
santo;1;es-PE;santo;santou;san to;;;;
santo;2;en-GB;santo;santou;san to;;;;
santo;3;de-DE;santo;santou;san to;;;;
siri;0;it-IT;siri;;;;;;
siri;1;es-PE;siri;;;;;;
siri;2;en-GB;siri;;;;;;
siri;3;de-DE;siri;;;;;;
thanks;0;it-IT;grazie;;;;;;
thanks;1;es-PE;gracias;;;;;;
thanks;2;en-GB;thanks;thank you;;;;;
thanks;3;de-DE;danke;viel dank;;;;;
whatsup;0;it-IT;ehilà;;;;;;
whatsup;1;es-PE;qué tal;;;;;;
whatsup;2;en-GB;what's up;;;;;;
whatsup;3;de-DE;;;;;;;
yourname;0;it-IT;come ti chiami;il tuo nome;;;;;
yourname;1;es-PE;cómo te llamas;tu nombre;;;;;
yourname;2;en-GB;your name;;;;;;
yourname;3;de-DE;wie heißt du;dein name;;;;;
