KeywordName;NLanguage (0=it-IT, 1=es-PE, 2=en-GB, 3=de-DE);LanguageID;Words;;;;
bible;0;it-IT;la bibbia;passo della bibbia;;;
bible;1;es-PE;la biblia;versículo de la Biblia;;;
bible;2;en-GB;the bible;verse from the Bible;;;
bible;3;de-DE;;;;;
parable;0;it-IT;parabola;parabole;;;
parable;1;es-PE;parabola;parabolas;;;
parable;2;en-GB;parable;parables;;;
parable;3;de-DE;;;;;
pope;0;it-IT;il papa;papa francesco;papà francesco;del papa;
pope;1;es-PE;el papa;papa francisco;papá francisco;del papa;
pope;2;en-GB;the pope;pope francis;of the pope;;
pope;3;de-DE;;;;;
pray;0;it-IT;preghiamo;vorrei pregare;vorrei dire una preghiera;;
pray;1;es-PE;recemos;rezar;rezando;oración;
pray;2;en-GB;let's pray;we pray;want to pray;say a prayer;like to pray
pray;3;de-DE;lass uns beten;;;;
learnpray;0;it-IT;imparare una preghiera;imparare a pregare;;insegnarmi una preghiera;insegnarmi a pregare
learnpray;1;es-PE;aprender una oración;aprender a rezar;enseñarme una oración;enseñarme a rezar;
learnpray;2;en-GB;learn a prayer;learn to pray;teach me a prayer;teach me to pray;
learnpray;3;de-DE;;;;;
